dataset_name,oracle_param_oracle_name,oracle_param_number_of_epochs_for_training_feature_extractor,oracle_param_number_of_hidden_layers_for_classifier,oracle_param_number_of_neurons_in_layer_for_classifier,oracle_param_number_of_epochs_for_training_classifier,wtst_param_number_of_accepted_failed_attempts,wtst_param_epoch_unit,gan_param_number_of_generated_samples_perclass,maj_class_count,min_maj_rate,maj_f1,min_f1,stopping_epoch,fold
tor,fixed,-1,-1,-1,-1,15,100,500,200,0.1,0.75,0.333333333,1500,3
tor,cas,-1,2,20,20,15,100,500,200,0.1,0.948717949,0.6,700,4
tor,fcn,-1,2,100,100,15,100,500,200,0.1,0.876712329,0.4,3800,4
tor,mis,-1,2,100,100,15,100,500,200,0.1,0.876712329,0.4,2200,4
tor,mfid,200,-1,-1,-1,15,100,500,200,0.1,0.906666667,0.461538462,3500,4
tor,fixed,-1,-1,-1,-1,15,100,500,200,0.1,0.921052632,0.5,1500,4
tor,cas,-1,2,20,20,15,100,500,200,0.1,0.9,0,400,5
tor,fcn,-1,2,100,100,15,100,500,200,0.1,0.787878788,0.363636364,1800,5
tor,mis,-1,2,100,100,15,100,500,200,0.1,0.906666667,0.461538462,1600,5
tor,mfid,200,-1,-1,-1,15,100,500,200,0.1,0.891891892,0.428571429,200,5
tor,fixed,-1,-1,-1,-1,15,100,500,200,0.1,0.904109589,0.533333333,1500,5
tor,cas,-1,2,20,20,15,100,500,200,0.2,0.921052632,0.7,300,1
tor,fcn,-1,2,100,100,15,100,500,200,0.2,0.876712329,0.608695652,1400,1
tor,mis,-1,2,100,100,15,100,500,200,0.2,0.923076923,0.666666667,1400,1
tor,mfid,200,-1,-1,-1,15,100,500,200,0.2,0.906666667,0.666666667,1600,1
tor,fixed,-1,-1,-1,-1,15,100,500,200,0.2,0.938271605,0.666666667,1500,1
tor,cas,-1,2,20,20,15,100,500,200,0.2,0.918918919,0.727272727,1100,2
tor,fcn,-1,2,100,100,15,100,500,200,0.2,0.784810127,0,3100,2
tor,mis,-1,2,100,100,15,100,500,200,0.2,0.975,0.875,3100,2
tor,mfid,200,-1,-1,-1,15,100,500,200,0.2,0.962962963,0.8,1900,2
tor,fixed,-1,-1,-1,-1,15,100,500,200,0.2,0.918918919,0.727272727,1500,2
tor,cas,-1,2,20,20,15,100,500,200,0.2,0.921052632,0.7,900,3
tor,fcn,-1,2,100,100,15,100,500,200,0.2,0.68852459,0.457142857,400,3
tor,mis,-1,2,100,100,15,100,500,200,0.2,0.935064935,0.736842105,1100,3
tor,mfid,200,-1,-1,-1,15,100,500,200,0.2,0.906666667,0.666666667,100,3
tor,fixed,-1,-1,-1,-1,15,100,500,200,0.2,0.95,0.75,1500,3
tor,cas,-1,2,20,20,15,100,500,200,0.2,0.962025316,0.823529412,500,4
tor,fcn,-1,2,100,100,15,100,500,200,0.2,0.962025316,0.823529412,2600,4
tor,mis,-1,2,100,100,15,100,500,200,0.2,0.935064935,0.736842105,1000,4
tor,mfid,200,-1,-1,-1,15,100,500,200,0.2,0.921052632,0.7,100,4
tor,fixed,-1,-1,-1,-1,15,100,500,200,0.2,0.975,0.875,1500,4
tor,cas,-1,2,20,20,15,100,500,200,0.2,0.911392405,0.588235294,700,5
tor,fcn,-1,2,100,100,15,100,500,200,0.2,0.906666667,0.666666667,1600,5
tor,mis,-1,2,100,100,15,100,500,200,0.2,0.921052632,0.7,2100,5
tor,mfid,200,-1,-1,-1,15,100,500,200,0.2,0.921052632,0.7,1400,5
tor,fixed,-1,-1,-1,-1,15,100,500,200,0.2,0.906666667,0.666666667,1500,5
tor,cas,-1,2,20,20,15,100,500,200,0.3,0.935064935,0.814814815,1000,1
tor,fcn,-1,2,100,100,15,100,500,200,0.3,0.936708861,0.8,4500,1
tor,mis,-1,2,100,100,15,100,500,200,0.3,0.948717949,0.846153846,1200,1
tor,mfid,200,-1,-1,-1,15,100,500,200,0.3,0.84057971,0.685714286,800,1
tor,fixed,-1,-1,-1,-1,15,100,500,200,0.3,0.84057971,0.685714286,1500,1
tor,cas,-1,2,20,20,15,100,500,200,0.3,0.947368421,0.857142857,1200,2
tor,fcn,-1,2,100,100,15,100,500,200,0.3,0.918918919,0.8,500,2
tor,mis,-1,2,100,100,15,100,500,200,0.3,0.71875,0.55,1100,2
tor,mfid,200,-1,-1,-1,15,100,500,200,0.3,0.947368421,0.857142857,1500,2
tor,fixed,-1,-1,-1,-1,15,100,500,200,0.3,0.947368421,0.857142857,1500,2
tor,cas,-1,2,20,20,15,100,500,200,0.3,0.871794872,0.615384615,600,3
tor,fcn,-1,2,100,100,15,100,500,200,0.3,0.84057971,0.685714286,2300,3
tor,mis,-1,2,100,100,15,100,500,200,0.3,0.886075949,0.64,1500,3
tor,mfid,200,-1,-1,-1,15,100,500,200,0.3,0.845070423,0.666666667,1200,3
tor,fixed,-1,-1,-1,-1,15,100,500,200,0.3,0.9,0.666666667,1500,3
tor,cas,-1,2,20,20,15,100,500,200,0.3,0.794117647,0.611111111,500,4
tor,fcn,-1,2,100,100,15,100,500,200,0.3,0.948717949,0.846153846,1800,4
tor,mis,-1,2,100,100,15,100,500,200,0.3,0.962025316,0.88,900,4
tor,mfid,200,-1,-1,-1,15,100,500,200,0.3,0.769230769,0.615384615,600,4
tor,fixed,-1,-1,-1,-1,15,100,500,200,0.3,0.933333333,0.827586207,1500,4
tor,cas,-1,2,20,20,15,100,500,200,0.3,0.133333333,0.338983051,1900,5
tor,fcn,-1,2,100,100,15,100,500,200,0.3,0.923076923,0.769230769,1700,5
tor,mis,-1,2,100,100,15,100,500,200,0.3,0.823529412,0.666666667,500,5
tor,mfid,200,-1,-1,-1,15,100,500,200,0.3,0.906666667,0.75862069,700,5
tor,fixed,-1,-1,-1,-1,15,100,500,200,0.3,0.891891892,0.733333333,1500,5
tor,cas,-1,2,20,20,15,100,500,200,0.4,0.909090909,0.8,700,1
tor,fcn,-1,2,100,100,15,100,500,200,0.4,0.864864865,0.736842105,1800,1
tor,mis,-1,2,100,100,15,100,500,200,0.4,0.933333333,0.864864865,1700,1
tor,mfid,200,-1,-1,-1,15,100,500,200,0.4,0.923076923,0.823529412,700,1
