dataset_name,oracle_param_oracle_name,oracle_param_number_of_epochs_for_training_feature_extractor,oracle_param_number_of_hidden_layers_for_classifier,oracle_param_number_of_neurons_in_layer_for_classifier,oracle_param_number_of_epochs_for_training_classifier,wtst_param_number_of_accepted_failed_attempts,wtst_param_epoch_unit,gan_param_number_of_generated_samples_perclass,maj_class_count,min_maj_rate,maj_f1,min_f1,stopping_epoch,fold
tor_rf,mfid,200,-1,-1,-1,15,100,500,200,0.1,0.987341772,0.888888889,1500,3
tor_rf,fixed,-1,-1,-1,-1,15,100,500,200,0.1,0.987341772,0.888888889,1500,3
tor_rf,cas,-1,2,20,20,15,100,500,200,0.1,0.975609756,0.666666667,1400,4
tor_rf,fcn,-1,2,100,100,15,100,500,200,0.1,0.975609756,0.666666667,3500,4
tor_rf,mis,-1,2,100,100,15,100,500,200,0.1,0.975,0.75,2100,4
tor_rf,mfid,200,-1,-1,-1,15,100,500,200,0.1,0.975,0.75,1900,4
tor_rf,fixed,-1,-1,-1,-1,15,100,500,200,0.1,0.975,0.75,1500,4
tor_rf,cas,-1,2,20,20,15,100,500,200,0.1,0.987654321,0.857142857,600,5
tor_rf,fcn,-1,2,100,100,15,100,500,200,0.1,0.987654321,0.857142857,6500,5
tor_rf,mis,-1,2,100,100,15,100,500,200,0.1,0.987654321,0.857142857,1300,5
tor_rf,mfid,200,-1,-1,-1,15,100,500,200,0.1,0.987654321,0.857142857,1100,5
tor_rf,fixed,-1,-1,-1,-1,15,100,500,200,0.1,0.987654321,0.857142857,1500,5
tor_rf,cas,-1,2,20,20,15,100,500,200,0.2,0.936708861,0.705882353,600,1
tor_rf,fcn,-1,2,100,100,15,100,500,200,0.2,0.95,0.75,1100,1
tor_rf,mis,-1,2,100,100,15,100,500,200,0.2,0.936708861,0.705882353,2200,1
tor_rf,mfid,200,-1,-1,-1,15,100,500,200,0.2,0.936708861,0.705882353,1000,1
tor_rf,fixed,-1,-1,-1,-1,15,100,500,200,0.2,0.962962963,0.8,1500,1
tor_rf,cas,-1,2,20,20,15,100,500,200,0.2,0.975609756,0.857142857,600,2
tor_rf,fcn,-1,2,100,100,15,100,500,200,0.2,0.975609756,0.857142857,1100,2
tor_rf,mis,-1,2,100,100,15,100,500,200,0.2,0.975609756,0.857142857,3700,2
tor_rf,mfid,200,-1,-1,-1,15,100,500,200,0.2,0.975609756,0.857142857,1900,2
tor_rf,fixed,-1,-1,-1,-1,15,100,500,200,0.2,0.975609756,0.857142857,1500,2
tor_rf,cas,-1,2,20,20,15,100,500,200,0.2,0.963855422,0.769230769,700,3
tor_rf,fcn,-1,2,100,100,15,100,500,200,0.2,0.963855422,0.769230769,3300,3
tor_rf,mis,-1,2,100,100,15,100,500,200,0.2,0.963855422,0.769230769,1100,3
tor_rf,mfid,200,-1,-1,-1,15,100,500,200,0.2,0.951219512,0.714285714,800,3
tor_rf,fixed,-1,-1,-1,-1,15,100,500,200,0.2,0.963855422,0.769230769,1500,3
tor_rf,cas,-1,2,20,20,15,100,500,200,0.2,0.987654321,0.933333333,500,4
tor_rf,fcn,-1,2,100,100,15,100,500,200,0.2,0.987654321,0.933333333,5100,4
tor_rf,mis,-1,2,100,100,15,100,500,200,0.2,0.975,0.875,2200,4
tor_rf,mfid,200,-1,-1,-1,15,100,500,200,0.2,0.987654321,0.933333333,2500,4
tor_rf,fixed,-1,-1,-1,-1,15,100,500,200,0.2,0.975,0.875,1500,4
tor_rf,cas,-1,2,20,20,15,100,500,200,0.2,0.975,0.875,500,5
tor_rf,fcn,-1,2,100,100,15,100,500,200,0.2,0.975,0.875,4600,5
tor_rf,mis,-1,2,100,100,15,100,500,200,0.2,0.975,0.875,1300,5
tor_rf,mfid,200,-1,-1,-1,15,100,500,200,0.2,0.975,0.875,700,5
tor_rf,fixed,-1,-1,-1,-1,15,100,500,200,0.2,0.975,0.875,1500,5
tor_rf,cas,-1,2,20,20,15,100,500,200,0.3,0.963855422,0.857142857,700,1
tor_rf,fcn,-1,2,100,100,15,100,500,200,0.3,0.963855422,0.857142857,2700,1
tor_rf,mis,-1,2,100,100,15,100,500,200,0.3,0.963855422,0.857142857,1500,1
tor_rf,mfid,200,-1,-1,-1,15,100,500,200,0.3,0.963855422,0.857142857,300,1
tor_rf,fixed,-1,-1,-1,-1,15,100,500,200,0.3,0.975609756,0.909090909,1500,1
tor_rf,cas,-1,2,20,20,15,100,500,200,0.3,1,1,200,2
tor_rf,fcn,-1,2,100,100,15,100,500,200,0.3,1,1,3800,2
tor_rf,mis,-1,2,100,100,15,100,500,200,0.3,0.987654321,0.956521739,1200,2
tor_rf,mfid,200,-1,-1,-1,15,100,500,200,0.3,1,1,600,2
tor_rf,fixed,-1,-1,-1,-1,15,100,500,200,0.3,0.987341772,0.96,1500,2
tor_rf,cas,-1,2,20,20,15,100,500,200,0.3,0.952380952,0.8,2600,3
tor_rf,fcn,-1,2,100,100,15,100,500,200,0.3,0.952380952,0.8,1300,3
tor_rf,mis,-1,2,100,100,15,100,500,200,0.3,0.952380952,0.8,1500,3
tor_rf,mfid,200,-1,-1,-1,15,100,500,200,0.3,0.939759036,0.761904762,900,3
tor_rf,fixed,-1,-1,-1,-1,15,100,500,200,0.3,0.952380952,0.8,1500,3
tor_rf,cas,-1,2,20,20,15,100,500,200,0.3,0.962025316,0.88,400,4
tor_rf,fcn,-1,2,100,100,15,100,500,200,0.3,0.975609756,0.909090909,2400,4
tor_rf,mis,-1,2,100,100,15,100,500,200,0.3,0.962025316,0.88,900,4
tor_rf,mfid,200,-1,-1,-1,15,100,500,200,0.3,0.987654321,0.956521739,1600,4
tor_rf,fixed,-1,-1,-1,-1,15,100,500,200,0.3,0.975,0.916666667,1500,4
